Age_Category,Gender,License,Coverage,Earned_Premium_Income,Exposure,Total_Paid,Estimated_Cost,Cost,No_of_Claims,No_of_Large_Claims,Dev_Year,Year,DevYear
over 70,Female,Provisional,All,735416.5,1270.481086,129138,0,129138,54,0,5,2015,2011@2015
over 70,Male,Full,All,38450118.1,75245.47789,19520230,2209818,21730048,3505,38,5,2015,2011@2015
over 70,Male,Provisional,All,638518.4,1013.385411,146750,0,146750,44,0,5,2015,2011@2015
17 to 20,Female,Full,Comprehensive,4312462.4,4426.369613,2700008,116700,2816708,352,2,5,2015,2011@2015
17 to 20,Female,Provisional,Comprehensive,4994866.7,3482.292848,3990899,132637,4123536,413,6,5,2015,2011@2015
17 to 20,Male,Full,Comprehensive,4826915.6,3403.842235,3518292,134442,3652734,269,7,5,2015,2011@2015
17 to 20,Male,Provisional,Comprehensive,1873642.9,974.893622,936189,340025,1276214,119,3,5,2015,2011@2015
21 to 24,Female,Full,Comprehensive,17763086.3,27866.91693,10285870,3926914,14212784,1923,19,5,2015,2011@2015
21 to 24,Female,Provisional,Comprehensive,6407043.2,6451.077397,3655891,497282,4153173,676,8,5,2015,2011@2015
21 to 24,Male,Full,Comprehensive,16777830.6,17512.24046,9024187,1614853,10639040,1256,24,5,2015,2011@2015
21 to 24,Male,Provisional,Comprehensive,2466642.2,1885.115026,1282472,844259,2126731,214,2,5,2015,2011@2015
25 to 30,Female,Full,Comprehensive,41647550.5,84445.40319,24366886,3182070,27548956,5413,43,5,2015,2011@2015
25 to 30,Female,Provisional,Comprehensive,7856791.8,10222.12986,5551015,2318189,7869204,1007,10,5,2015,2011@2015
25 to 30,Male,Full,Comprehensive,36116404.2,54662.1142,22878222,3846537,26724759,3876,45,5,2015,2011@2015
25 to 30,Male,Provisional,Comprehensive,4715964.5,4921.435008,3241526,1018755,4260281,480,8,5,2015,2011@2015
31 to 50,Female,Full,Comprehensive,147584169.8,330355.4914,77807942,16994455,94802397,19742,117,5,2015,2011@2015
31 to 50,Female,Provisional,Comprehensive,13871507.8,21706.94601,8698646,2306904,11005550,1770,22,5,2015,2011@2015
31 to 50,Male,Full,Comprehensive,138032908.9,265720.9332,82274234,11447225,93721459,16162,135,5,2015,2011@2015
31 to 50,Male,Provisional,Comprehensive,8713784.7,12256.70374,6037188,1632030,7669218,1094,14,5,2015,2011@2015
51 to 70,Female,Full,Comprehensive,77029882.9,184937.0272,33542175,5370861,38913036,8921,53,5,2015,2011@2015
51 to 70,Female,Provisional,Comprehensive,5477144.2,9532.097265,1889576,3032602,4922178,571,5,5,2015,2011@2015
51 to 70,Male,Full,Comprehensive,114568893.5,242529.2209,48344261,5417732,53761993,11724,70,5,2015,2011@2015
51 to 70,Male,Provisional,Comprehensive,3100296.3,4865.28495,958627,193446,1152073,299,0,5,2015,2011@2015
over 70,Female,Full,Comprehensive,17804502.8,37507.3729,8489267,895003,9384270,1980,14,5,2015,2011@2015
over 70,Female,Provisional,Comprehensive,532890.4,870.841668,102133,0,102133,43,0,5,2015,2011@2015
over 70,Male,Full,Comprehensive,31866442.7,59976.70722,16682442,1935190,18617632,3030,30,5,2015,2011@2015
over 70,Male,Provisional,Comprehensive,396580.6,615.827965,95396,0,95396,32,0,5,2015,2011@2015
17 to 20,Female,Full,ThirdPartyFireTheft,3647681.6,4366.773843,2425506,999075,3424581,239,8,5,2015,2011@2015
17 to 20,Female,Provisional,ThirdPartyFireTheft,7211058.5,5824.910687,5351490,3354392,8705882,477,14,5,2015,2011@2015
17 to 20,Male,Full,ThirdPartyFireTheft,9351779.8,7375.045058,12312373,6719968,19032341,486,27,5,2015,2011@2015
17 to 20,Male,Provisional,ThirdPartyFireTheft,6348968.1,3416.577134,6060335,2265794,8326129,316,17,5,2015,2011@2015
21 to 24,Female,Full,ThirdPartyFireTheft,6023503.4,10589.17897,3696790,510018,4206808,512,11,5,2015,2011@2015
21 to 24,Female,Provisional,ThirdPartyFireTheft,5661592.7,6412.943451,3769303,78880,3848183,425,6,5,2015,2011@2015
21 to 24,Male,Full,ThirdPartyFireTheft,14952149.5,17842.34412,7402286,3422853,10825139,906,15,5,2015,2011@2015
21 to 24,Male,Provisional,ThirdPartyFireTheft,4805954.6,3616.806503,3552349,1144348,4696697,298,12,5,2015,2011@2015
25 to 30,Female,Full,ThirdPartyFireTheft,7058142.5,15400.91993,3500034,347373,3847407,640,10,5,2015,2011@2015
25 to 30,Female,Provisional,ThirdPartyFireTheft,4626413.4,6555.030889,2389756,595848,2985604,417,7,5,2015,2011@2015
25 to 30,Male,Full,ThirdPartyFireTheft,17249337,28374.19213,9526823,8136598,17663421,1358,25,5,2015,2011@2015
25 to 30,Male,Provisional,ThirdPartyFireTheft,5085791.5,5238.148115,3578590,1479910,5058500,393,12,5,2015,2011@2015
31 to 50,Female,Full,ThirdPartyFireTheft,12217855.7,28670.42239,6889985,1906458,8796443,1125,18,5,2015,2011@2015
31 to 50,Female,Provisional,ThirdPartyFireTheft,5167289.5,8357.003886,3587194,2218400,5805594,484,11,5,2015,2011@2015
31 to 50,Male,Full,ThirdPartyFireTheft,29198693.8,61915.17312,18298854,12928304,31227158,2361,38,5,2015,2011@2015
31 to 50,Male,Provisional,ThirdPartyFireTheft,5334303.3,6987.391584,2480778,660753,3141531,371,7,5,2015,2011@2015
51 to 70,Female,Full,ThirdPartyFireTheft,6082582.2,15625.48922,2325131,589669,2914800,407,4,5,2015,2011@2015
51 to 70,Female,Provisional,ThirdPartyFireTheft,1533624.6,3096.306568,527711,46629,574340,81,1,5,2015,2011@2015
51 to 70,Male,Full,ThirdPartyFireTheft,16013443.2,38458.16547,5711911,573061,6284972,1035,10,5,2015,2011@2015
51 to 70,Male,Provisional,ThirdPartyFireTheft,1448311.1,2350.109677,530731,0,530731,73,1,5,2015,2011@2015
over 70,Female,Full,ThirdPartyFireTheft,2024640.9,5052.361605,593231,99120,692351,118,2,5,2015,2011@2015
over 70,Female,Provisional,ThirdPartyFireTheft,189203.2,372.240506,22382,0,22382,10,0,5,2015,2011@2015
over 70,Male,Full,ThirdPartyFireTheft,5917629.1,13567.32768,2290351,274628,2564979,360,7,5,2015,2011@2015
over 70,Male,Provisional,ThirdPartyFireTheft,221855.2,365.120281,51354,0,51354,12,0,5,2015,2011@2015
17 to 20,Female,Full,ThirdPartyOnly,27328.4,36.2623,496,0,496,1,0,5,2015,2011@2015
17 to 20,Female,Provisional,ThirdPartyOnly,66810.5,53.628417,23290,0,23290,4,0,5,2015,2011@2015
17 to 20,Male,Full,ThirdPartyOnly,100363.8,91.251371,44191,9766,53957,6,0,5,2015,2011@2015
17 to 20,Male,Provisional,ThirdPartyOnly,80247.6,41.658471,13641,0,13641,4,0,5,2015,2011@2015
21 to 24,Female,Full,ThirdPartyOnly,109319.4,186.885266,0,0,0,5,0,5,2015,2011@2015
21 to 24,Female,Provisional,ThirdPartyOnly,71176,75.969944,19576,0,19576,5,0,5,2015,2011@2015
21 to 24,Male,Full,ThirdPartyOnly,342244.2,431.415352,154853,0,154853,16,0,5,2015,2011@2015
21 to 24,Male,Provisional,ThirdPartyOnly,92441.2,68.464485,4775,0,4775,4,0,5,2015,2011@2015
25 to 30,Female,Full,ThirdPartyOnly,279311,639.664023,107448,12000,119448,22,0,5,2015,2011@2015
25 to 30,Female,Provisional,ThirdPartyOnly,87811.2,128.822416,36374,0,36374,6,0,5,2015,2011@2015
25 to 30,Male,Full,ThirdPartyOnly,813664.9,1518.336285,334267,0,334267,63,0,5,2015,2011@2015
25 to 30,Male,Provisional,ThirdPartyOnly,149651.9,177.224057,173738,99190,272928,12,2,5,2015,2011@2015
31 to 50,Female,Full,ThirdPartyOnly,820634.3,2239.115139,214056,0,214056,43,0,5,2015,2011@2015
31 to 50,Female,Provisional,ThirdPartyOnly,128666.5,222.524619,116370,34625,150995,10,0,5,2015,2011@2015
31 to 50,Male,Full,ThirdPartyOnly,2590505.9,6756.083222,1322153,300826,1622979,165,2,5,2015,2011@2015
31 to 50,Male,Provisional,ThirdPartyOnly,187187.6,315.658509,104625,0,104625,9,0,5,2015,2011@2015
51 to 70,Female,Full,ThirdPartyOnly,433703.9,1275.221582,384730,79350,464080,26,2,5,2015,2011@2015
51 to 70,Female,Provisional,ThirdPartyOnly,37848.3,86.510947,1314,0,1314,2,0,5,2015,2011@2015
51 to 70,Male,Full,ThirdPartyOnly,1811161.9,4868.430007,602169,40270,642439,78,1,5,2015,2011@2015
51 to 70,Male,Provisional,ThirdPartyOnly,115120.2,201.786929,4114,0,4114,4,0,5,2015,2011@2015
over 70,Female,Full,ThirdPartyOnly,164559.9,437.907204,65220,0,65220,32,0,5,2015,2011@2015
over 70,Female,Provisional,ThirdPartyOnly,13322.9,27.398912,4623,0,4623,3,0,5,2015,2011@2015
over 70,Male,Full,ThirdPartyOnly,666046.3,1701.442994,547437,0,547437,115,1,5,2015,2011@2015
over 70,Male,Provisional,ThirdPartyOnly,20082.6,32.437165,0,0,0,0,0,5,2015,2011@2015
17 to 20,Female,Full,All,6297303,7025.740551,2710578,761602,3472180,452,5,4,2015,2012@2015
17 to 20,Female,Provisional,All,10065316.4,7628.442768,6062965,1542076,7605041,664,19,4,2015,2012@2015
17 to 20,Male,Full,All,10270045,8315.716059,7027655,3224850,10252505,573,20,4,2015,2012@2015
17 to 20,Male,Provisional,All,4866443.2,2896.245973,2851744,4072967,6924711,275,14,4,2015,2012@2015
21 to 24,Female,Full,All,20716733.8,34886.7815,12075472,3867413,15942885,2013,28,4,2015,2012@2015
21 to 24,Female,Provisional,All,10864715.9,11887.74591,6299591,1929049,8228640,895,13,4,2015,2012@2015
21 to 24,Male,Full,All,27259786.9,32918.25157,14244170,5331545,19575715,1853,46,4,2015,2012@2015
21 to 24,Male,Provisional,All,5486563.3,4455.169465,4109648,1301697,5411345,384,18,4,2015,2012@2015
25 to 30,Female,Full,All,47171953.1,103744.8797,29271621,8351511,37623132,5819,59,4,2015,2012@2015
25 to 30,Female,Provisional,All,10959648,15559.66395,6601409,4152031,10753440,1146,19,4,2015,2012@2015
25 to 30,Male,Full,All,50109308.6,83875.07408,32783093,11953057,44736150,4741,89,4,2015,2012@2015
25 to 30,Male,Provisional,All,8551943.8,9344.426333,4466916,2303225,6770141,729,14,4,2015,2012@2015
31 to 50,Female,Full,All,166395092.6,402113.9797,91575143,27765308,119340451,21379,216,4,2015,2012@2015
31 to 50,Female,Provisional,All,16570431.7,28112.5464,10691686,3423597,14115283,1999,28,4,2015,2012@2015
31 to 50,Male,Full,All,167620014.8,357502.0573,96699941,34138098,130838039,18811,235,4,2015,2012@2015
31 to 50,Male,Provisional,All,12679124.5,19092.10651,9133642,3878306,13011948,1328,25,4,2015,2012@2015
51 to 70,Female,Full,All,89538543.1,225352.0949,41479985,11792461,53272446,9524,84,4,2015,2012@2015
51 to 70,Female,Provisional,All,5403860.4,10435.84427,2431220,355892,2787112,474,4,4,2015,2012@2015
51 to 70,Male,Full,All,120117857,276682.1772,55258873,18489015,73747888,11375,126,4,2015,2012@2015
51 to 70,Male,Provisional,All,3447527.5,5934.393427,1435908,926309,2362217,275,4,4,2015,2012@2015
over 70,Female,Full,All,21678533.5,48307.01613,10627668,5520495,16148163,2281,26,4,2015,2012@2015
over 70,Female,Provisional,All,680613.5,1223.811457,212092,0,212092,38,0,4,2015,2012@2015
over 70,Male,Full,All,39929928,81982.06792,23764307,11396662,35160969,3608,58,4,2015,2012@2015
over 70,Male,Provisional,All,498338,823.535516,197246,224114,421360,32,1,4,2015,2012@2015
17 to 20,Female,Full,Comprehensive,3292101.3,3409.128498,1705715,321925,2027640,250,3,4,2015,2012@2015
17 to 20,Female,Provisional,Comprehensive,4281753.7,2987.543779,2606875,746161,3353036,354,9,4,2015,2012@2015
17 to 20,Male,Full,Comprehensive,3490823.8,2560.524663,2293799,1594562,3888361,216,6,4,2015,2012@2015
17 to 20,Male,Provisional,Comprehensive,1303521.7,734.636624,974000,541950,1515950,94,2,4,2015,2012@2015
21 to 24,Female,Full,Comprehensive,14949737.3,24451.48644,8695026,2621451,11316477,1514,21,4,2015,2012@2015
21 to 24,Female,Provisional,Comprehensive,5657877.1,5876.338804,3209802,921166,4130968,515,6,4,2015,2012@2015
21 to 24,Male,Full,Comprehensive,13656323.5,15321.59302,6871786,2583871,9455657,968,19,4,2015,2012@2015
21 to 24,Male,Provisional,Comprehensive,1744752.8,1405.948113,1070533,402842,1473375,132,5,4,2015,2012@2015
25 to 30,Female,Full,Comprehensive,39801325.8,86499.57099,24495369,5997491,30492860,5086,43,4,2015,2012@2015
25 to 30,Female,Provisional,Comprehensive,6692333.7,9185.054669,4315002,2613087,6928089,800,11,4,2015,2012@2015
25 to 30,Male,Full,Comprehensive,33166805.4,53538.45108,20116091,7910355,28026446,3362,47,4,2015,2012@2015
25 to 30,Male,Provisional,Comprehensive,3805304.1,4092.773272,2084535,1509339,3593874,370,7,4,2015,2012@2015
31 to 50,Female,Full,Comprehensive,152179876.6,367109.8105,83282593,23405060,106687653,20011,185,4,2015,2012@2015
31 to 50,Female,Provisional,Comprehensive,11887774.9,19841.1229,7501504,2403973,9905477,1608,19,4,2015,2012@2015
31 to 50,Male,Full,Comprehensive,136092451.1,284500.3168,75568951,24865473,100434424,15959,165,4,2015,2012@2015
31 to 50,Male,Provisional,Comprehensive,7492652.7,11497.28958,4496879,2586057,7082936,939,15,4,2015,2012@2015
51 to 70,Female,Full,Comprehensive,82683667.4,207600.9063,37893694,10105038,47998732,9080,70,4,2015,2012@2015
51 to 70,Female,Provisional,Comprehensive,4180674,7740.240447,1721910,172315,1894225,392,3,4,2015,2012@2015
51 to 70,Male,Full,Comprehensive,103163990.2,234162.6363,45402204,15589616,60991820,10261,96,4,2015,2012@2015
51 to 70,Male,Provisional,Comprehensive,2251469,3803.554634,1133132,198801,1331933,210,3,4,2015,2012@2015
over 70,Female,Full,Comprehensive,19472187.4,42606.08172,9890906,5214864,15105770,2138,23,4,2015,2012@2015
over 70,Female,Provisional,Comprehensive,480578.6,824.928947,167327,0,167327,28,0,4,2015,2012@2015
over 70,Male,Full,Comprehensive,33530441,66750.09526,19004729,7582268,26586997,3167,41,4,2015,2012@2015
over 70,Male,Provisional,Comprehensive,291620.1,475.210383,99772,0,99772,21,0,4,2015,2012@2015
17 to 20,Female,Full,ThirdPartyFireTheft,2973665.4,3568.185823,955761,439677,1395438,196,2,4,2015,2012@2015
17 to 20,Female,Provisional,ThirdPartyFireTheft,5717055.7,4586.046527,3305170,795915,4101085,307,10,4,2015,2012@2015
17 to 20,Male,Full,ThirdPartyFireTheft,6665328.2,5646.713257,4729602,1630288,6359890,354,14,4,2015,2012@2015
17 to 20,Male,Provisional,ThirdPartyFireTheft,3494196.7,2126.978196,1877088,3531017,5408105,180,12,4,2015,2012@2015
21 to 24,Female,Full,ThirdPartyFireTheft,5655096.9,10215.61473,3313230,1204362,4517592,487,7,4,2015,2012@2015
21 to 24,Female,Provisional,ThirdPartyFireTheft,5132412.1,5930.35792,3080042,1007883,4087925,375,7,4,2015,2012@2015
21 to 24,Male,Full,ThirdPartyFireTheft,13244846.1,17118.39624,7028273,2747674,9775947,871,26,4,2015,2012@2015
21 to 24,Male,Provisional,ThirdPartyFireTheft,3655765,2984.491846,2945919,898855,3844774,245,13,4,2015,2012@2015
25 to 30,Female,Full,ThirdPartyFireTheft,7148698.1,16678.80868,4375929,2167881,6543810,712,15,4,2015,2012@2015
25 to 30,Female,Provisional,ThirdPartyFireTheft,4188255.3,6258.10927,2192200,1535030,3727230,339,8,4,2015,2012@2015
25 to 30,Male,Full,ThirdPartyFireTheft,16235598.6,28956.82516,11957700,3806532,15764232,1333,40,4,2015,2012@2015
25 to 30,Male,Provisional,ThirdPartyFireTheft,4617758.5,5113.765081,2371333,793886,3165219,350,7,4,2015,2012@2015
31 to 50,Female,Full,ThirdPartyFireTheft,13479639,32843.40966,7733277,3761055,11494332,1289,29,4,2015,2012@2015
31 to 50,Female,Provisional,ThirdPartyFireTheft,4565706.3,8063.390704,3162923,1019624,4182547,377,9,4,2015,2012@2015
31 to 50,Male,Full,ThirdPartyFireTheft,29279415.4,66912.96994,19742070,8255850,27997920,2659,64,4,2015,2012@2015
31 to 50,Male,Provisional,ThirdPartyFireTheft,5028885.5,7322.508186,4519050,1185501,5704551,373,10,4,2015,2012@2015
51 to 70,Female,Full,ThirdPartyFireTheft,6445978.8,16531.2896,3384245,1537423,4921668,415,14,4,2015,2012@2015
51 to 70,Female,Provisional,ThirdPartyFireTheft,1190337.3,2620.114749,652229,183577,835806,78,1,4,2015,2012@2015
51 to 70,Male,Full,ThirdPartyFireTheft,15308544.9,38105.3114,9187868,2643278,11831146,1032,27,4,2015,2012@2015
51 to 70,Male,Provisional,ThirdPartyFireTheft,1098618.7,1955.885243,298429,727508,1025937,63,1,4,2015,2012@2015
over 70,Female,Full,ThirdPartyFireTheft,2047865.2,5277.215828,723138,305631,1028769,133,3,4,2015,2012@2015
over 70,Female,Provisional,ThirdPartyFireTheft,188485.1,374.581964,42299,0,42299,9,0,4,2015,2012@2015
over 70,Male,Full,ThirdPartyFireTheft,5787254.2,13692.5874,4127530,3622325,7749855,345,14,4,2015,2012@2015
over 70,Male,Provisional,ThirdPartyFireTheft,190821.1,323.349724,96079,224114,320193,10,1,4,2015,2012@2015
17 to 20,Female,Full,ThirdPartyOnly,31536.3,48.42623,49102,0,49102,6,0,4,2015,2012@2015
17 to 20,Female,Provisional,ThirdPartyOnly,66507,54.852462,150920,0,150920,3,0,4,2015,2012@2015
17 to 20,Male,Full,ThirdPartyOnly,113893,108.478139,4254,0,4254,3,0,4,2015,2012@2015
17 to 20,Male,Provisional,ThirdPartyOnly,68724.8,34.631153,656,0,656,1,0,4,2015,2012@2015
21 to 24,Female,Full,ThirdPartyOnly,111899.6,219.680335,67216,41600,108816,12,0,4,2015,2012@2015
21 to 24,Female,Provisional,ThirdPartyOnly,74426.7,81.049185,9747,0,9747,5,0,4,2015,2012@2015
21 to 24,Male,Full,ThirdPartyOnly,358617.3,478.262303,344111,0,344111,14,0,4,2015,2012@2015
21 to 24,Male,Provisional,ThirdPartyOnly,86045.5,64.729506,93196,0,93196,7,0,4,2015,2012@2015
25 to 30,Female,Full,ThirdPartyOnly,221929.2,566.500015,400323,186139,586462,21,1,4,2015,2012@2015
25 to 30,Female,Provisional,ThirdPartyOnly,79059,116.500006,94207,3914,98121,7,0,4,2015,2012@2015
25 to 30,Male,Full,ThirdPartyOnly,706904.6,1379.797843,709302,236170,945472,46,2,4,2015,2012@2015
25 to 30,Male,Provisional,ThirdPartyOnly,128881.2,137.88798,11048,0,11048,9,0,4,2015,2012@2015
31 to 50,Female,Full,ThirdPartyOnly,735577,2160.7596,559273,599193,1158466,79,2,4,2015,2012@2015
31 to 50,Female,Provisional,ThirdPartyOnly,116950.5,208.032796,27259,0,27259,14,0,4,2015,2012@2015
31 to 50,Male,Full,ThirdPartyOnly,2248148.3,6088.770586,1388920,1016775,2405695,193,6,4,2015,2012@2015
31 to 50,Male,Provisional,ThirdPartyOnly,157586.3,272.308746,117713,106748,224461,16,0,4,2015,2012@2015
51 to 70,Female,Full,ThirdPartyOnly,408896.9,1219.898921,202046,150000,352046,29,0,4,2015,2012@2015
51 to 70,Female,Provisional,ThirdPartyOnly,32849.1,75.489071,57081,0,57081,4,0,4,2015,2012@2015
51 to 70,Male,Full,ThirdPartyOnly,1645321.9,4414.229533,668801,256121,924922,82,3,4,2015,2012@2015
51 to 70,Male,Provisional,ThirdPartyOnly,97439.8,174.95355,4347,0,4347,2,0,4,2015,2012@2015
over 70,Female,Full,ThirdPartyOnly,158480.9,423.718579,13624,0,13624,10,0,4,2015,2012@2015
over 70,Female,Provisional,ThirdPartyOnly,11549.8,24.300546,2466,0,2466,2,0,4,2015,2012@2015
over 70,Male,Full,ThirdPartyOnly,612232.8,1539.385259,632048,192069,824117,96,3,4,2015,2012@2015
over 70,Male,Provisional,ThirdPartyOnly,15896.8,24.975409,1395,0,1395,1,0,4,2015,2012@2015
17 to 20,Female,Full,All,4971805.5,5239.386272,2303969,2007862,4311831,315,8,3,2015,2013@2015
17 to 20,Female,Provisional,All,6273959.2,4404.675728,2042628,1027588,3070216,288,6,3,2015,2013@2015
17 to 20,Male,Full,All,6709076.2,5873.184277,2327073,1530799,3857872,366,8,3,2015,2013@2015
17 to 20,Male,Provisional,All,3030674.7,1929.229861,1352030,3278649,4630679,154,5,3,2015,2013@2015
21 to 24,Female,Full,All,20317179.5,31379.95015,9994455,5380717,15375172,1814,31,3,2015,2013@2015
21 to 24,Female,Provisional,All,10789217.4,10759.97431,4480481,2569532,7050013,790,12,3,2015,2013@2015
21 to 24,Male,Full,All,23209390.6,29643.22341,12447953,6380932,18828885,1588,31,3,2015,2013@2015
21 to 24,Male,Provisional,All,5291259.1,4586.516969,2898473,1459978,4358451,359,11,3,2015,2013@2015
25 to 30,Female,Full,All,46042396.1,96790.04132,22451797,13311882,35763679,5309,50,3,2015,2013@2015
25 to 30,Female,Provisional,All,10786802.7,14280.12753,4722704,5067247,9789951,1031,21,3,2015,2013@2015
25 to 30,Male,Full,All,42685173.5,74307.40505,20040015,20616915,40656930,4034,59,3,2015,2013@2015
25 to 30,Male,Provisional,All,7795512.5,8598.971039,3747051,2430963,6178014,668,10,3,2015,2013@2015
31 to 50,Female,Full,All,171223973.7,411694.6422,81021099,49677660,130698759,22679,213,3,2015,2013@2015
31 to 50,Female,Provisional,All,15921297.4,26307.9494,6965425,5195015,12160440,1797,26,3,2015,2013@2015
31 to 50,Male,Full,All,156422038.5,346432.2442,77279883,50730306,128010189,18183,201,3,2015,2013@2015
31 to 50,Male,Provisional,All,11707909.8,17916.52732,6547667,3304808,9852475,1235,18,3,2015,2013@2015
51 to 70,Female,Full,All,94660679.1,236962.1862,35874263,17067818,52942081,10262,87,3,2015,2013@2015
51 to 70,Female,Provisional,All,5001428.2,9599.597456,999350,741824,1741174,440,0,3,2015,2013@2015
51 to 70,Male,Full,All,114558712.7,271152.6265,45106605,28038293,73144898,11377,101,3,2015,2013@2015
51 to 70,Male,Provisional,All,3084666.4,5514.703259,838741,468086,1306827,242,1,3,2015,2013@2015
over 70,Female,Full,All,23235678.5,51687.34515,8702165,4135443,12837608,2300,18,3,2015,2013@2015
over 70,Female,Provisional,All,681137.1,1214.929172,162444,148215,310659,50,1,3,2015,2013@2015
over 70,Male,Full,All,39817185.2,84041.22818,17157775,14396252,31554027,3722,55,3,2015,2013@2015
over 70,Male,Provisional,All,455335,770.931834,202477,123444,325921,41,2,3,2015,2013@2015
17 to 20,Female,Full,Comprehensive,2715197.7,2691.659022,1375698,631162,2006860,184,4,3,2015,2013@2015
17 to 20,Female,Provisional,Comprehensive,2778589.7,1783.046815,1052614,443145,1495759,145,4,3,2015,2013@2015
17 to 20,Male,Full,Comprehensive,2601061.2,2114.959446,1105655,392804,1498459,163,3,3,2015,2013@2015
17 to 20,Male,Provisional,Comprehensive,994044.6,599.437284,430003,1873593,2303596,62,1,3,2015,2013@2015
21 to 24,Female,Full,Comprehensive,14049183.5,21190.5827,7911550,3803179,11714729,1336,22,3,2015,2013@2015
21 to 24,Female,Provisional,Comprehensive,5399018.9,5182.81509,2629962,1413670,4043632,425,9,3,2015,2013@2015
21 to 24,Male,Full,Comprehensive,11427026.5,13825.20717,5304320,1893600,7197920,865,7,3,2015,2013@2015
21 to 24,Male,Provisional,Comprehensive,1734750.4,1489.770692,822689,324793,1147482,140,0,3,2015,2013@2015
25 to 30,Female,Full,Comprehensive,38266300.4,79772.89456,19281031,10779120,30060151,4619,42,3,2015,2013@2015
25 to 30,Female,Provisional,Comprehensive,6284179.3,8187.031226,2579355,3550359,6129714,684,12,3,2015,2013@2015
25 to 30,Male,Full,Comprehensive,28580280.6,48442.22919,13885691,15785004,29670695,2933,38,3,2015,2013@2015
25 to 30,Male,Provisional,Comprehensive,3300857.7,3642.347557,1445432,554929,2000361,335,2,3,2015,2013@2015
31 to 50,Female,Full,Comprehensive,155675766.8,374363.4841,74043307,44367499,118410806,21247,186,3,2015,2013@2015
31 to 50,Female,Provisional,Comprehensive,11218499.4,18395.24891,5077449,3350744,8428193,1361,18,3,2015,2013@2015
31 to 50,Male,Full,Comprehensive,127505104.5,279027.5805,62275121,38338363,100613484,15765,149,3,2015,2013@2015
31 to 50,Male,Provisional,Comprehensive,6844500.8,10706.63017,4146757,1717072,5863829,862,11,3,2015,2013@2015
51 to 70,Female,Full,Comprehensive,87299983.9,218632.623,33842598,15358481,49201079,9810,78,3,2015,2013@2015
51 to 70,Female,Provisional,Comprehensive,3852169.4,7137.408469,844136,552765,1396901,365,1,3,2015,2013@2015
51 to 70,Male,Full,Comprehensive,98891613.1,232000.6519,38728701,19104523,57833224,10371,84,3,2015,2013@2015
51 to 70,Male,Provisional,Comprehensive,1992919,3482.000693,525939,335665,861604,180,1,3,2015,2013@2015
over 70,Female,Full,Comprehensive,20902157.8,45775.16384,7992097,3569078,11561175,2157,14,3,2015,2013@2015
over 70,Female,Provisional,Comprehensive,478344.9,823.379924,123290,148215,271505,38,0,3,2015,2013@2015
over 70,Male,Full,Comprehensive,33742435.1,69404.84301,14842629,8884192,23726821,3291,44,3,2015,2013@2015
over 70,Male,Provisional,Comprehensive,275853,459.052002,191980,17461,209441,32,1,3,2015,2013@2015
